temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana
02-03,F\xf3rum Valladolid,16,34,11,23,2625,2789,6818,2448,2625,3466,1292,1118
02-03,Caceres Cb,17,34,8,26,2683,2930,6817,2442,2683,3162,1062,964
02-03,C.B. Granada,18,34,5,29,2584,2944,6818,2248,2584,3970,1320,1230
92-93,Real Madrid Teka,1,31,25,6,2531,2287,6220,2867,2531,2615,743,837
92-93,Marbella Joventut,2,31,24,7,2621,2332,6246,2924,2621,3392,1472,1437
92-93,F.C. Barcelona Banca Catalana,3,31,23,8,2670,2485,6192,2843,2670,3494,1387,1263
92-93,Estudiantes Caja Postal,4,31,21,10,2510,2403,6219,2801,2510,3680,1323,1495
92-93,Caja San Fernando,5,31,19,12,2641,2473,6245,2973,2641,2710,774,945
92-93,Unicaja Mayoral,6,31,19,12,2481,2484,6242,2420,2481,3185,902,818
92-93,Valencia Basket,7,31,18,13,2454,2451,6195,2581,2454,2493,612,683
92-93,Elos\xfaa Le\xf3n,8,31,17,14,2683,2557,6244,2886,2683,2907,1203,1111
92-93,Taugr\xe9s,9,31,17,14,2610,2540,6217,2918,2610,1949,540,708
92-93,Banco Natwest Zaragoza,10,31,16,15,2310,2310,6194,2532,2310,3486,1211,1297
92-93,Coren Orense,11,31,15,16,2450,2476,6221,2453,2450,2723,731,460
92-93,Festina Andorra,12,31,15,16,2345,2349,6219,2476,2345,2926,830,893
92-93,Tdk Manresa,13,31,15,16,2416,2489,6196,2651,2416,2849,801,718
92-93,Bfi Granollers,14,31,13,18,2483,2554,6193,2544,2483,3186,1084,1007
92-93,Oar Pescanova Ferrol,15,31,12,19,2307,2483,5993,2137,2309,3602,1063,916
92-93,Valvi Girona,16,31,12,19,2458,2550,6243,2385,2458,2738,983,749
92-93,Dyc Breog\xe1n,17,31,12,19,2591,2619,6243,2573,2591,2835,715,492
92-93,Grupo Libro Valladolid,18,31,11,20,2412,2542,6267,2517,2412,1332,288,340
92-93,Argal Huesca,19,31,11,20,2488,2574,6193,2460,2488,3296,1075,876
92-93,Club Basket Ferrys Lliria,20,31,10,21,2417,2545,6067,2236,2417,2670,867,566
92-93,C\xe1ceres C.B.,21,31,9,22,2365,2470,6195,2277,2365,3138,879,553
92-93,C.B. Juver Murcia,22,31,7,24,2260,2530,6214,2115,2260,3194,962,783
11-12,Regal FC Barcelona,1,34,29,5,2639,2232,6871,2035,2639,2082,769,602
11-12,Real Madrid,2,34,26,8,2829,2513,6794,1580,2829,2950,1188,770
11-12,Caja Laboral,3,34,23,11,2545,2384,6819,805,2545,1350,433,174
11-12,Valencia Basket,4,34,20,14,2531,2401,6817,650,2531,2058,673,170
11-12,Gescrap Bizkaia,5,34,19,15,2642,2615,6867,135,2642,1871,723,92
11-12,Lagun Aro GBC,6,34,19,15,2664,2578,6843,430,2664,2706,946,282
11-12,Cajasol Banca Civica,7,34,18,16,2523,2460,6892,315,2523,2115,670,36
11-12,Lucentum Alicante,8,34,18,16,2352,2439,6841,-435,2352,1276,393,-109
11-12,Unicaja,9,34,17,17,2509,2562,6816,-265,2509,1660,455,43
11-12,FIATC Mutua Joventut,10,34,16,18,2493,2562,6866,-345,2493,1542,413,-223
11-12,CAI Zaragoza,11,34,16,18,2404,2454,6891,-250,2404,2259,706,-98
11-12,Assignia Manresa,12,34,15,19,2497,2559,6791,-310,2497,1930,379,-207
11-12,Blusens Monbus,13,34,13,21,2405,2481,6844,-380,2405,1261,532,24
11-12,Gran Canaria 2014,14,34,13,21,2268,2395,6868,-635,2268,2661,702,-141
11-12,UCAM Murcia,15,34,13,21,2439,2512,6818,-365,2439,2869,870,-244
11-12,Mad-Croc Fuenlabrada,16,34,12,22,2414,2585,6867,-855,2414,2965,832,-406
11-12,Asefa Estudiantes,17,34,11,23,2394,2573,6816,-895,2394,1612,416,-128
11-12,Blancos de Rueda Valladolid,18,34,8,26,2349,2592,6841,-1215,2349,2439,712,-466
01-02,Unicaja,1,34,27,7,2782,2455,6868,2847,2782,2102,735,576
01-02,F.C. Barcelona,2,34,27,7,2960,2687,6792,3168,2960,2792,984,1191
01-02,TAU Cer\xe1mica,3,34,24,10,2764,2429,6792,2943,2844,790,207,208
01-02,Real Madrid,4,34,24,10,2818,2577,6891,3036,2818,3103,1237,1288
01-02,Pamesa Valencia,5,34,21,13,2681,2534,6893,2846,2681,3287,1197,1231
01-02,Adecco Estudiantes,6,34,20,14,2933,2771,6844,2967,2933,4243,1691,1904
01-02,Jabones Pardo Fuenlabrada,7,34,19,15,2675,2709,6843,2434,2675,4627,1553,1416
01-02,Caprabo Lleida,8,34,19,15,2764,2745,6843,2725,2764,3489,1275,1036
01-02,DKV Joventut,9,34,18,16,2858,2824,6792,3048,2858,2414,843,851
01-02,F\xf3rum Valladolid,10,34,17,17,2753,2738,6844,2713,2753,4816,1774,1544
01-02,Casademont Girona,11,34,17,17,2587,2671,6794,2396,2587,3703,1136,943
01-02,Caja San Fernando,12,34,14,20,2608,2613,6817,2339,2608,2062,662,653
01-02,Leche R\xedo Breog\xe1n,13,34,13,21,2530,2731,6791,2246,2530,3359,1044,709
01-02,C.B. Granada,14,34,12,22,2809,2943,6817,2594,2809,4549,1505,1485
01-02,C\xe1ceres C.B.,15,34,11,23,2655,2933,6818,2395,2655,3033,1136,829
01-02,Canarias Telecom,16,34,10,24,2560,2786,6790,2364,2631,1888,609,627
01-02,Cantabria Lobos,17,34,7,27,2623,2942,6793,2299,2623,3656,1268,1071
01-02,Gij\xf3n Baloncesto,18,34,6,28,2564,2836,6841,2202,2564,4325,1469,1126
91-92,Montigal\xe1 Joventut,1,34,26,8,2885,2522,6867,3293,2885,4128,1738,1646
91-92,Elos\xfaa Le\xf3n,2,34,25,9,2760,2558,6843,3009,2760,4488,1629,1578
91-92,CAI Zaragoza,3,34,25,9,2760,2462,6795,3190,2760,4605,1947,2078
91-92,Real Madrid Asegurator,4,34,24,10,2902,2656,6844,3120,2902,3996,1419,1592
91-92,Estudiantes Caja Postal,5,34,24,10,2828,2660,6818,3134,2828,4430,1654,1793
91-92,F.C. Barcelona,6,34,24,10,2745,2517,6792,2963,2745,4687,1823,1768
91-92,Taugr\xe9s,7,34,24,10,2759,2565,6818,3119,2759,3146,866,983
91-92,F\xf3rum Filat\xe9lico Valaldolid,8,34,21,13,2755,2588,6818,3062,2755,2755,726,741
91-92,Pamesa Valencia,9,34,18,16,2640,2595,6919,2828,2640,3544,920,1026
91-92,Huesca La Magia,10,34,18,16,2709,2756,6820,2768,2709,4457,1297,1207
91-92,Oar Ferrol,11,34,17,17,2600,2616,6793,2556,2600,4518,1464,1296
91-92,Juver Murcia,12,34,16,18,2680,2715,6820,2659,2680,4286,1364,1161
91-92,Valvi Girona,13,34,16,18,2668,2671,6821,2692,2668,3668,1034,963
91-92,Granollers E.B.,14,34,16,18,2769,2749,6893,2882,2769,4520,1594,1524
91-92,Tdk Manresa,15,34,15,19,2546,2540,6843,2633,2546,4435,1522,1217
91-92,Caja San Fernando,16,34,14,20,2588,2704,6845,2538,2588,4415,1313,1085
91-92,Unicaja Ronda,17,34,13,21,2455,2527,6816,2457,2455,4525,1510,1504
91-92,Mayoral Maristas,18,34,12,22,2698,2847,6794,2492,2698,4586,1373,1156
91-92,Dyc Breog\xe1n,19,34,12,22,2563,2655,6818,2497,2563,4320,1317,1014
91-92,Ferrys Lliria,20,34,11,23,2440,2676,6793,2252,2440,4445,1343,899
91-92,Gran Canaria,21,34,10,24,2413,2656,6844,2114,2412,4280,1135,746
91-92,Coren Orense,22,34,10,24,2433,2775,6794,2331,2433,4462,1408,1138
91-92,Granada,23,34,9,25,2581,2805,6869,2543,2581,4310,1150,996
91-92,C.B. Collado Villalba,24,34,8,26,2578,2940,6817,2361,2578,4627,1192,898
10-11,Regal FC Barcelona,1,34,27,7,2614,2245,6868,2852,2614,3185,1122,1405
10-11,Real Madrid,2,34,26,8,2629,2401,6867,2922,2629,3321,1291,1439
10-11,Power Electronics Valencia,3,34,24,10,2570,2414,6791,2701,2570,1979,850,821
10-11,Caja Laboral,4,34,23,11,2693,2509,6794,2915,2693,1618,584,780
10-11,Gran Canaria 2014,5,34,21,13,2560,2450,6840,2613,2560,1963,545,702
10-11,Bizkaia Bilbao Basket,6,34,21,13,2643,2514,6892,2628,2643,1528,526,581
10-11,Baloncesto Fuenlabrada,7,34,20,14,2611,2580,6793,2749,2611,2300,712,560
10-11,Unicaja,8,34,19,15,2582,2461,6814,2634,2582,2570,770,866
10-11,Blancos de Rueda Valladolid,9,34,18,16,2465,2462,6818,2551,2465,1151,394,287
10-11,CAI Zaragoza,10,34,16,18,2551,2641,6818,2634,2551,1954,715,792
