temporada,equipo,puesto,PJ,PG,PP,PF,PC,total_min,total_val,total_puntos,total_min_espana,total_puntos_espana,total_val_espana,total_jug,jug_esp,jug1,jug3,jug5,mas5,porcentaje_jug_esp,porcentaje_jug_1,porcentaje_jug_3,porcentaje_jug_5,porcentaje_jug_mas5,total_min_no_esp,porcentaje_min_esp,porcentaje_min_no_esp,total_puntos_no_esp,porcentaje_puntos_esp,porcentaje_puntos_no_esp,total_val_no_esp,porcentaje_val_esp,porcentaje_val__no_esp
08-09,Kalise Gran Canaria,6,32,20,12,2566,2487,6468,2745,2566,728,162,390,12,3,0,12,0,0,0.2,0.0,1.0,0.0,0.0,5740,0.1,0.9,2404,0.1,0.9,2355,0.1,0.9
08-09,Pamesa Valencia,7,32,16,16,2452,2416,6395,2374,2452,2385,865,928,21,8,5,16,0,0,0.4,0.2,0.8,0.0,0.0,4010,0.4,0.6,1587,0.4,0.6,1446,0.4,0.6
08-09,iurbentia Bilbao Basket,8,32,15,17,2451,2492,6395,2315,2451,2061,740,685,13,3,0,9,3,1,0.2,0.0,0.7,0.2,0.1,4334,0.3,0.7,1711,0.3,0.7,1630,0.3,0.7
08-09,ALTA GESTI\xd3N Fuenlabrada,9,32,15,17,2669,2639,6417,2624,2669,2282,933,894,16,7,0,14,0,2,0.4,0.0,0.9,0.0,0.1,4135,0.4,0.6,1736,0.3,0.7,1730,0.3,0.7
08-09,Ricoh Manresa,10,32,14,18,2382,2503,6495,2429,2382,4385,1409,1566,14,11,0,13,0,1,0.8,0.0,0.9,0.0,0.1,2110,0.7,0.3,973,0.6,0.4,863,0.6,0.4
08-09,C.B. Granada,11,32,12,20,2369,2516,6418,2411,2369,1358,418,366,15,5,1,13,0,1,0.3,0.1,0.9,0.0,0.1,5060,0.2,0.8,1951,0.2,0.8,2045,0.2,0.8
08-09,Bruesa GBC,12,32,11,21,2448,2589,6494,2360,2448,2743,1006,879,12,6,1,9,1,1,0.5,0.1,0.8,0.1,0.1,3751,0.4,0.6,1442,0.4,0.6,1481,0.4,0.6
08-09,MMT Estudiantes,13,32,11,21,2473,2586,6441,2412,2473,1995,668,807,16,7,2,11,2,1,0.4,0.1,0.7,0.1,0.1,4446,0.3,0.7,1805,0.3,0.7,1605,0.3,0.7
08-09,Cajasol,14,32,10,22,2429,2641,6514,2322,2429,2231,636,687,19,7,4,13,1,1,0.4,0.2,0.7,0.1,0.1,4283,0.3,0.7,1793,0.3,0.7,1635,0.3,0.7
08-09,Club Baloncesto Murcia,15,32,9,23,2347,2636,6419,2318,2347,1766,564,578,17,7,3,10,3,1,0.4,0.2,0.6,0.2,0.1,4653,0.3,0.7,1783,0.2,0.8,1740,0.2,0.8
